SARGAM NOTATION v3 — ICCR-1854-AC SIDE B
=================================================================
Source: Demucs vocals + CREPE + tanpura Sa detection
Detected Sa = 98.0 Hz | Pa = 146.8 Hz
Confidence: medium
CREPE confidence threshold = 0.75
Total notes: 5492

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [01:34.38]  d       0.040s   Dha komal — madhya saptak
  [01:34.77]  n       0.040s   Ni komal — madhya saptak
  [01:35.07]  g'      0.040s   Ga komal — taar saptak
  [01:35.24]  n       0.040s   Ni komal — madhya saptak
  [01:35.46]  G'      0.040s   Ga shuddh — taar saptak
  [01:35.62]  g'      0.040s   Ga komal — taar saptak
  [01:35.84]  g'      0.040s   Ga komal — taar saptak
  [01:36.26]  R'      0.050s   Re shuddh — taar saptak
  [01:36.34]  S       0.040s   Sa — madhya saptak
  [01:36.98]  S'      0.040s   Sa — taar saptak
  [01:37.38]  G'      0.050s   Ga shuddh — taar saptak
  [01:37.70]  S'      0.050s   Sa — taar saptak
