SARGAM NOTATION — MELODIC-FIDELITY CANDIDATE (self_improve_melody.py)
==============================================================================
Sa = 96.9500 Hz
Confidence = 0.5917  Gap = 0.0576s  Min duration = 0.0061s
Post-process: median_window=1  min_keep=0.0096s  bridge=0.0122s/0.1140s
Melody score = 0.94166  pitch=0.8835 coverage=1.0000 swara=0.9925 rest=1.0000
Mean abs cents = 25.6  Total notes: 13103

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = one taar octave; '' = two taar octaves; . = one mandra octave; .. = two mandra octaves

FORMAT: [MM:SS.ss]  note  duration  full_name
==============================================================================

--- Minute 00 ---
  [00:32.74]  n'      0.020s   Ni komal — taar saptak
  [00:32.88]  M'      0.030s   Ma shuddh — taar saptak
  [00:33.01]  P'      0.050s   Pa — taar saptak
  [00:33.14]  P'      0.050s   Pa — taar saptak
  [00:33.22]  R'      0.020s   Re shuddh — taar saptak
  [00:33.24]  S'      0.010s   Sa — taar saptak
  [00:33.25]  N'      0.010s   Ni shuddh — taar saptak
  [00:33.26]  D'      0.010s   Dha shuddh — taar saptak
  [00:33.40]  R'      0.040s   Re shuddh — taar saptak
  [00:33.44]  g'      0.080s   Ga komal — taar saptak
  [00:33.52]  G'      0.030s   Ga shuddh — taar saptak
  [00:33.55]  M'      0.070s   Ma shuddh — taar saptak
  [00:33.62]  G'      0.030s   Ga shuddh — taar saptak
  [00:33.65]  g'      0.020s   Ga komal — taar saptak
  [00:33.67]  G'      0.020s   Ga shuddh — taar saptak
  [00:33.69]  M'      0.010s   Ma shuddh — taar saptak
  [00:33.73]  d'      0.040s   Dha komal — taar saptak
  [00:33.78]  M+'     0.020s   Ma tivra — taar saptak
  [00:33.80]  M'      0.200s   Ma shuddh — taar saptak
  [00:34.00]  G'      0.210s   Ga shuddh — taar saptak
  [00:34.21]  g'      0.070s   Ga komal — taar saptak
  [00:34.38]  M+'     0.020s   Ma tivra — taar saptak
  [00:34.48]  M'      0.010s   Ma shuddh — taar saptak
  [00:34.56]  P'      0.030s   Pa — taar saptak
  [00:34.75]  G'      0.010s   Ga shuddh — taar saptak
  [00:34.76]  M'      0.040s   Ma shuddh — taar saptak
  [00:34.80]  G'      0.050s   Ga shuddh — taar saptak
  [00:34.88]  d'      0.040s   Dha komal — taar saptak
  [00:34.94]  M+'     0.010s   Ma tivra — taar saptak
  [00:34.95]  M'      0.040s   Ma shuddh — taar saptak
  [00:34.99]  M+'     0.020s   Ma tivra — taar saptak
  [00:35.01]  M'      0.020s   Ma shuddh — taar saptak
  [00:35.03]  G'      0.030s   Ga shuddh — taar saptak
  [00:35.06]  M'      0.060s   Ma shuddh — taar saptak
  [00:35.15]  r'      0.020s   Re komal — taar saptak
  [00:35.18]  R'      0.010s   Re shuddh — taar saptak
  [00:35.19]  g'      0.030s   Ga komal — taar saptak
  [00:35.22]  R'      0.010s   Re shuddh — taar saptak
  [00:35.24]  r'      0.130s   Re komal — taar saptak
  [00:35.37]  S'      0.430s   Sa — taar saptak
  [00:36.12]  g'      0.010s   Ga komal — taar saptak
  [00:36.41]  S'      0.040s   Sa — taar saptak
  [00:36.62]  R'      0.230s   Re shuddh — taar saptak
  [00:36.85]  g'      0.050s   Ga komal — taar saptak
  [00:36.90]  G'      0.120s   Ga shuddh — taar saptak
  [00:37.02]  M'      0.620s   Ma shuddh — taar saptak
  [00:37.64]  G'      0.020s   Ga shuddh — taar saptak
  [00:37.66]  g'      0.020s   Ga komal — taar saptak
  [00:37.68]  G'      0.090s   Ga shuddh — taar saptak
  [00:37.96]  R'      0.160s   Re shuddh — taar saptak
  [00:38.22]  M'      0.030s   Ma shuddh — taar saptak
  [00:38.25]  G'      0.020s   Ga shuddh — taar saptak
  [00:38.27]  g'      0.020s   Ga komal — taar saptak
  [00:38.30]  G'      0.010s   Ga shuddh — taar saptak
  [00:38.37]  M'      0.020s   Ma shuddh — taar saptak
  [00:38.39]  G'      0.040s   Ga shuddh — taar saptak
  [00:38.43]  M'      0.020s   Ma shuddh — taar saptak
  [00:38.45]  M+'     0.020s   Ma tivra — taar saptak
  [00:38.47]  M'      0.010s   Ma shuddh — taar saptak
  [00:38.48]  G'      0.160s   Ga shuddh — taar saptak
  [00:38.70]  R'      0.020s   Re shuddh — taar saptak
  [00:38.74]  r'      0.020s   Re komal — taar saptak
  [00:38.94]  r'      0.010s   Re komal — taar saptak
  [00:39.38]  R'      0.030s   Re shuddh — taar saptak
  [00:39.88]  S'      0.010s   Sa — taar saptak
  [00:40.09]  D'      0.120s   Dha shuddh — taar saptak
  [00:40.27]  r'      0.010s   Re komal — taar saptak
  [00:40.28]  N       0.010s   Ni shuddh — madhya saptak
  [00:40.34]  g'      0.050s   Ga komal — taar saptak
  [00:40.39]  G'      0.070s   Ga shuddh — taar saptak
  [00:40.46]  M'      0.190s   Ma shuddh — taar saptak
  [00:40.69]  G'      0.050s   Ga shuddh — taar saptak
  [00:40.74]  M'      0.250s   Ma shuddh — taar saptak
  [00:40.99]  G'      0.060s   Ga shuddh — taar saptak
  [00:41.05]  M'      0.040s   Ma shuddh — taar saptak
